Designator,Footprint,Quantity,Value,LCSC Part #
"C101, C102",C_Radial_D6.3mm_H11.0mm_P2.50mm,2,C_Small,
D101,D_DO-201AD_P15.24mm_Horizontal,1,1N5822,
"J101, J102, J103, J104, J105, J106, J107, J108, J109, J110, J111, J112, J113, J114, J115, J116, J117, J118",PinHeader_1x03_P2.54mm_Vertical,18,Conn_01x03_Pin,
"J119, J120",PinSocket_1x15_P2.54mm_Vertical,2,Conn_01x15_Socket,
L101,L_Radial_D10.0mm_P5.00mm_Fastron_07M,1,100uf,
U101,TO-263-5_TabPin3,1,LM2576HVS-5,
